libor;overnight
3.4079;3.37
3.3955;3.36
3.3491;3.315
3.3304;3.3
3.3387;3.325
3.3404;3.3
3.3244;3.28
3.325;3.285
3.2815;3.225
3.2353;3.18
3.2001;3.1775
3.1879;3.16
3.18;3.145
3.1637;3.12
3.1114;3.0825
3.0391;2.995
3.0037;3.01
3.0231;3.015
3.06;2.99
3.06;3.0425
3.1037;3.095
3.2355;3.215
3.3216;3.265
3.3144;3.18
3.2372;3.2
3.2675;3.2375
3.3423;3.25
3.316;3.225
3.3071;3.175
3.32;3.26
3.31;3.1775
3.27;3.145
3.22;3.115
3.1872;3.1
3.189;3.1
3.1994;3.205
3.3561;3.245
3.3825;3.24
3.361;3.19
3.3;3.17
3.2988;3.145
3.2412;3.17
3.292;3.19
3.3311;3.25
3.3397;3.1775
3.301;3.17
3.2974;3.1775
3.30025;3.2
3.3125;3.19
3.3125;3.19
3.3125;3.19
3.34675;3.18
3.33888;3.19
3.3375;3.21
3.3375;3.21
3.31588;3.18
3.33588;3.19
3.36963;3.255
3.415;3.25
3.37763;3.26
3.42;3.32
3.44625;3.335
3.5;3.345
3.41563;3.285
3.44238;3.31
3.44738;3.32
3.47;3.355
3.475;3.2
3.48513;3.345
3.52188;3.41
3.556;3.4
3.56563;3.455
3.62688;3.465
3.65;3.45
3.61688;3.41
3.57188;3.41
3.61988;3.4275
3.63375;3.42
3.575;3.375
3.54625;3.36
3.5275;3.36
3.52563;3.42
3.58025;3.41
3.5875;3.42
3.57425;3.44
3.63;3.45
3.61875;3.43
3.59913;3.42
3.59175;3.425
3.586;3.445
3.629;3.4325
3.629;3.465
3.5925;3.415
3.59288;3.445
3.63163;3.46
3.63875;3.45
3.61288;3.435
3.61775;3.465
3.673;3.49
3.67388;3.51
3.71;3.51
3.7105;3.565
3.773;3.565
3.773;3.565
3.773;3.5675
3.8;3.57
3.78513;3.59
3.84;3.615
3.84388;3.6125
3.84425;3.6175
3.83188;3.6325
3.89038;3.6625
3.90025;3.71
3.97825;3.75
3.98388;3.725
3.95525;3.72
3.95163;3.608
3.95163;3.608
3.95163;3.608
3.99113;3.73
3.95638;3.705
3.93763;3.695
3.935;3.665
3.88638;3.665
3.90663;3.6575
3.86313;3.6525
3.9;3.65
3.88175;3.63
3.83788;3.6
3.839;3.67
3.88125;3.64
3.86925;3.6
3.847;3.6375
3.8315;3.6075
3.79875;3.62
3.82125;3.5975
3.7545;3.5625
3.77;3.555
3.7515;3.58
3.7555;3.59
3.7605;3.5575
3.7675;3.57
3.87513;3.61
3.83263;3.635
3.80163;3.613
3.83438;3.66
3.83438;3.66
3.90125;3.715
3.928;3.745
4.0215;3.825
4.042;3.81
4.03925;3.8175
4.09625;3.86
4.08313;3.845
4.07063;3.75
3.96375;3.738
3.99188;3.745
3.98375;3.76
4.0075;3.79
4.03888;3.78
4.0075;3.7675
3.97188;3.73
3.95788;3.77
3.99738;3.7575
3.9585;3.71
3.9505;3.73
3.94875;3.72
3.921;3.735
3.94813;3.72
3.92438;3.72
3.90988;3.703
3.9325;3.68
3.86;3.65
3.83575;3.675
3.84525;3.683
3.8305;3.678
3.83;3.663
3.8225;3.63
3.80463;3.58
3.78588;3.6175
3.72125;3.56
3.76775;3.5825
3.76188;3.57
3.72038;3.57
3.72175;3.535
3.70763;3.55
3.74;3.5725
3.75313;3.615
3.75038;3.5825
3.7565;3.58
3.7175;3.54
3.67375;3.52
3.68125;3.5
3.64013;3.46
3.60913;3.51
3.65413;3.5
3.68188;3.51
3.62;3.48
3.59;3.4225
3.61013;3.44
3.5165;3.37
3.54;3.39
3.50488;3.33
3.50313;3.425
3.56;3.423
3.538;3.363
3.47338;3.3225
3.43413;3.24
3.33875;3.22
3.36975;3.29
3.41163;3.24
3.35;3.268
3.39;3.288
3.38538;3.29
3.38038;3.2675
3.32875;3.3
3.39;3.345
3.49875;3.37
3.49713;3.42
3.48688;3.34
3.49563;3.395
3.5525;3.41
3.52625;3.39
3.52313;3.34
3.51;3.395
3.48625;3.33
3.41;3.31
3.4;3.26
3.36438;3.25
3.34;3.21
3.29913;3.18
3.23413;3.13
3.21875;3.1
3.29325;3.18
3.3125;3.19
3.3375;3.238
3.32488;3.1725
3.24425;3.15
3.24625;3.15
3.25125;3.143
3.1935;3.11
3.20063;3.105
3.18;3.09
3.16875;3.05
3.15375;3.025
3.1575;3.06
3.16488;3.07
3.16313;3.055
3.10913;2.95
3.05588;2.9875
3.10813;2.995
3.05375;2.93
3.04925;2.923
3.00288;2.96
3.05875;2.963
3.04263;2.945
3.03625;3.02
3.143;3.08
3.16;3.05
3.2;3.12
3.225;3.11
3.311;3.075
3.1665;3.04
3.14138;3.055
3.15688;3.05
3.14375;2.99
3.12275;3.0225
3.18;3.05
3.14438;3.0175
3.12038;2.94
3.09088;3.01
3.11625;2.94
3.06488;2.96
3.08738;2.93
3.06375;2.99
3.10525;2.98
3.0685;2.9825
3.0475;2.92
3.00463;2.91
2.99025;2.892
2.97375;2.875
2.9575;2.9
3.00213;2.89
2.97625;2.88
2.969;2.87
2.96625;2.88
2.96363;2.87
2.97038;2.89
3.0115;2.8925
3.004;2.87
2.99;2.92
3.02875;2.895
3.01963;2.865
3.005;2.87
2.99163;2.857
2.97063;2.865
2.96431;2.81
2.94544;2.8
2.91313;2.78
2.88306;2.775
2.89281;2.76
2.87563;2.7375
2.84644;2.755
2.84813;2.76
2.85125;2.7375
2.82969;2.715
2.82438;2.718
2.82181;2.71
2.82031;2.72
2.81813;2.72
2.81813;2.72
2.81813;2.72
2.77831;2.66
2.74013;2.67
2.73925;2.642
2.73925;2.642
2.728;2.69
2.78775;2.67
2.774;2.655
2.744;2.64
2.725;2.62
2.693;2.63
2.72375;2.61
2.7175;2.635
2.71625;2.63
2.72;2.63
2.715;2.64
2.71425;2.61
2.7025;2.6075
2.6965;2.615
2.68125;2.595
2.67413;2.6
2.6625;2.57
2.64313;2.58
2.65513;2.57
2.63038;2.55
2.64588;2.56
2.63325;2.57
2.651;2.5775
2.6405;2.53
2.61;2.56
2.6205;2.49
2.56;2.45
2.53038;2.47
2.542;2.45
2.51788;2.4275
2.485;2.39
2.483;2.425
2.51788;2.4275
2.4955;2.43
2.5;2.41
2.47313;2.405
2.47238;2.435
2.39988;2.31
2.37875;2.3
2.38038;2.31
2.3705;2.33
2.4065;2.27
2.3575;2.28
2.34038;2.28
2.3405;2.28
2.3625;2.3
2.35113;2.285
2.33825;2.25
2.3325;2.29
2.34463;2.3
2.38575;2.39
2.46125;2.395
2.42363;2.355
2.50113;2.41
2.46113;2.4
2.46938;2.38
2.46138;2.41
2.46875;2.37
2.45313;2.4
2.46538;2.39
2.444;2.38
2.44463;2.35
2.393;2.32
2.36788;2.29
2.3875;2.31
2.3995;2.31
2.40425;2.32
2.45313;2.35
2.4425;2.35
2.4155;2.32
2.40038;2.33
2.43038;2.37
2.50475;2.44
2.53375;2.44
2.533;2.42
2.50125;2.45
2.50125;2.443
2.50125;2.43
2.4875;2.39
2.47875;2.415
2.45638;2.355
2.42938;2.34
2.40238;2.36
2.42188;2.35
2.41913;2.31
2.36375;2.26
2.35063;2.31
2.38063;2.3
2.359;2.28
2.32013;2.24
2.30038;2.26
2.33688;2.26
2.30125;2.23
2.3075;2.19
2.27325;2.1975
2.26238;2.18
2.25063;2.17
2.20688;2.19
2.22025;2.12
2.194;2.13
2.19838;2.12
2.18375;2.12
2.1675;2.09
2.14;2.11
2.17313;2.11
2.18;2.09
2.13938;2.07
2.14263;2.0625
2.119;2.01
2.07375;2.025
2.07463;1.96
2.00519;1.96
2.0145;1.94
2.00463;1.88
1.96;1.89
1.95613;1.92
1.95;1.87
1.92488;1.91
1.96438;1.94
1.99638;1.96
1.98338;1.93
1.97325;1.93
1.99288;1.925
1.99113;1.92
1.97313;1.8975
2.023;1.98
2.07163;1.99
2.06;1.95
2.02263;1.93
2.04;1.95
2.04463;1.98
2.03275;1.94
2.03763;1.99
2.06;1.98
2.04963;1.99
2.04963;1.963
2.05;1.98
2.04863;1.97
2.0545;2.01
2.11375;2.01
2.10063;2.02
2.10363;2.02
2.11313;2.04
2.1255;2.02
2.106;1.97
2.0825;2.02
2.10013;1.99
2.096;2.01
2.10638;2.01
2.1225;2.02
2.11025;2.1
2.239;2.16
2.28125;2.13
2.26163;2.13
2.27;2.14
2.25;2.12
2.21413;2.085
2.225;2.1325
2.2405;2.13
2.25038;2.135
2.27163;2.1575
2.27538;2.13
2.27625;2.14
2.30313;2.14
2.27;2.15
2.3025;2.16
2.30375;2.16
2.3125;2.163
2.32263;2.17
2.32538;2.19
2.32875;2.17
2.31625;2.168
2.31175;2.175
2.36638;2.21
